rxn,Ea
[C:0]1([H:9])=[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16].[C:17]([H:18])([H:19])[H:20]>>[C:0]1([H:9])[C:1]([H:10])([C:17]([H:18])([H:19])[H:20])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16],34.28788
[C:0]1([H:9])=[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16].[C:17]([H:18])([H:19])[H:20]>>[C:0]1([H:9])([C:17]([H:18])([H:19])[H:20])[C:1]([H:10])[c:2]2[c:3]([H:11])[c:4]([H:12])[c:5]([H:13])[c:6]([H:14])[c:7]2[C:8]1([H:15])[H:16],24.547528
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2[C:4]([H:14])([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]2([H:18])[C:8]([H:19])=[C:9]1[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:18])[C:4]([H:14])([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]2[C:8]([H:19])=[C:9]1[H:20],93.7216
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2[C:4]([H:14])([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]2([H:18])[C:8]([H:19])=[C:9]1[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:14])[C:4]([H:15])[C:5]([H:16])=[C:6]([H:17])[C:7]2([H:18])[C:8]([H:19])=[C:9]1[H:20],132.2144
[C:0](=[C:1]([C:2](=[C:3]([C:4](=[C:5]1[C:6]([H:16])[C:7]([H:17])([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15])[H:14])[H:13])[H:12])([H:10])[H:11]>>[C:0]1([H:10])([H:11])[C:1]([H:12])[C:2]([H:13])=[C:3]([H:14])[C:4]([H:15])=[C:5]2[C:6]1([H:16])[C:7]([H:17])([H:18])[C:8]([H:19])=[C:9]2[H:20],101.2528
[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[c:3]2[c:4]([H:14])[c:5]([H:15])[c:6]([H:16])[c:7]([H:17])[c:8]2[C:9]1([H:18])[H:19].[H:20]>>[C:0]1([H:10])=[C:1]([H:11])[C:2]([H:12])([H:13])[C:3]2([H:20])[C:4]([H:14])[C:5]([H:15])=[C:6]([H:16])[C:7]([H:17])=[C:8]2[C:9]1([H:18])[H:19],19.6648
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20])[H:15]>>[C:0]([C:1](=[C:2]([C:3]([H:13])[H:14])[H:12])[H:11])(=[C:4]([C:5]1=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20])[H:15])[H:10],130.5408
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20])[H:15]>>[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:9]([H:20])[C:8]([H:18])([H:19])[C:7]([H:17])=[C:6]1[H:16])[H:15],91.2112
[C:0]1([H:10])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1([H:19])[H:20])[H:15]>>[C:0]1([H:10])([H:19])[C:1]([H:11])=[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]1([C:5]1=[C:6]([H:16])[C:7]([H:17])=[C:8]([H:18])[C:9]1[H:20])[H:15],105.8552
[C:0](=[C:1]([C:2](=[C:3]([C:4]([C:5]1([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])=[C:9]1[H:20])[H:15])[H:14])[H:13])[H:12])([H:10])[H:11]>>[C:0](=[C:1]([C:2](=[C:3]([C:4]1([H:15])[C:5]2([H:16])[C:6]([H:17])=[C:7]([H:18])[C:8]([H:19])[C:9]12[H:20])[H:14])[H:13])[H:12])([H:10])[H:11],53.9736
