,err,model_unc,data_unc,unc,g,pred,index
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([H:12])[H:13])([H:9])([H:10])[H:11]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:8]([C:7]([H:9])([H:10])[H:11])([H:12])[H:13],24.328480711049224,1.7759762539068213,4.855433515430741,5.170041225871321,37.36542847487726,61.693909185926486,64.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:8]([C:7]([H:9])([H:10])[H:11])([H:12])[H:13]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([C:8]([H:12])[H:13])([H:9])([H:10])[H:11],12.224328834490066,2.3547745759160974,6.5494964797051525,6.9599473734397606,91.84927116087056,79.62494232638049,65.0
[C:1]([O:2][H:5])([H:3])[H:4].[C:6](=[C:7]([O:8])[H:11])([H:9])[H:10]>>[C:1](=[O:2])([H:3])[H:4].[H:5][O:8][C:7](=[C:6]([H:9])[H:10])[H:11],15.717778494788874,2.508292365185721,3.1310289970502123,4.011841618212045,50.06330297124805,34.345524476459175,66.0
[C:1](=[O:2])([H:3])[H:4].[H:5][O:8][C:7](=[C:6]([H:9])[H:10])[H:11]>>[C:1]([O:2][H:5])([H:3])[H:4].[C:6](=[C:7]([O:8])[H:11])([H:9])[H:10],50.969320533308846,1.3890939297759446,3.7378205858176154,3.9875913378256707,96.12875289088697,45.159432357578126,67.0
[C:1]([O:2][H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:9])([H:10])[H:11]>>[C:1](=[O:2])([H:4])[H:5].[H:3][C:6]([C:7](=[O:8])[H:9])([H:10])[H:11],12.58833879823105,1.61519038785144,3.6954069240958636,4.032973136987567,45.500081822188804,32.911743023957754,68.0
[C:1](=[O:2])([H:4])[H:5].[H:3][C:6]([C:7](=[O:8])[H:9])([H:10])[H:11]>>[C:1]([O:2][H:3])([H:4])[H:5].[C:6](=[C:7]([O:8])[H:9])([H:10])[H:11],47.733424365072366,2.3463253896301204,2.6793497611580395,3.561482553184921,104.83026443139534,57.09684006632297,69.0
[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:14])([H:15])[H:16])=[O:11])([H:12])[H:13]>>[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:7]([O:8][C:9]([C:10]([H:14])([H:15])[H:16])=[O:11])([H:12])[H:13],20.081709695767742,1.2064736402320901,3.756623627150377,3.9456051146356907,42.30131883290596,62.383028528673705,70.0
[C:1](=[C:2]=[O:3])([H:4])[H:5].[H:6][C:7]([O:8][C:9]([C:10]([H:14])([H:15])[H:16])=[O:11])([H:12])[H:13]>>[C:1](=[C:2]([O:3])[H:6])([H:4])[H:5].[C:7]([O:8][C:9]([C:10]([H:14])([H:15])[H:16])=[O:11])([H:12])[H:13],15.789709116949098,1.6686900247306724,6.254902250890214,6.473664230312468,98.37755454750732,82.58784543055822,71.0
[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9]>>[C:1]([H:2])([H:3])([H:4])[H:10].[C:5](=[C:6]=[O:7])([H:8])[H:9],29.214928402618355,2.432879737839756,4.441101473404965,5.063821295807248,29.169191645400133,58.38412004801849,72.0
[C:1]([H:2])([H:3])([H:4])[H:10].[C:5](=[C:6]=[O:7])([H:8])[H:9]>>[C:1]([H:2])([H:3])[H:4].[C:5](=[C:6]([O:7])[H:10])([H:8])[H:9],18.21461110934706,3.456079073341903,8.341539307927393,9.029161676860683,91.45206265237357,73.23745154302651,73.0
[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8]>>[C:1](=[O:2])([H:3])[H:9].[C:4](=[C:5]=[O:6])([H:7])[H:8],14.505543219112567,1.8458130673874487,3.3522622579229426,3.8268378755354777,40.96863687605946,55.47418009517203,74.0
[C:1](=[O:2])([H:3])[H:9].[C:4](=[C:5]=[O:6])([H:7])[H:8]>>[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8],8.31525708688362,2.5709600750232693,7.499579648527882,7.928021859958336,86.38860878293053,78.07335169604691,75.0
[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8]>>[C-:1]#[O+:2].[H:3][O:6][C:5](=[C:4]([H:7])[H:8])[H:9],8.979955584031188,2.543481202097905,3.4223662721278134,4.264022458433284,51.65201193172834,42.67205634769715,76.0
[C-:1]#[O+:2].[H:3][O:6][C:5](=[C:4]([H:7])[H:8])[H:9]>>[C:1](=[O:2])[H:3].[C:4](=[C:5]([O:6])[H:9])([H:7])[H:8],54.720311034486166,2.3005257275003457,4.806844647565816,5.328993721963194,108.97262573378976,54.25231469930359,77.0
[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1]>>[C:2](=[C:3]=[O:4])([H:5])[H:6].[H:1][H:7],49.2847874923262,1.8148646860800741,6.471005621092022,6.7206880285418,19.300810760250897,68.5855982525771,78.0
[C:2](=[C:3]=[O:4])([H:5])[H:6].[H:1][H:7]>>[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1],16.486583723250646,1.4474067689404129,7.799414278192342,7.932581511566402,88.68278057844145,72.1961968551908,79.0
[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1]>>[H:1][O:4][C:3](=[C:2]([H:5])[H:6])[H:7],53.38170040805571,3.3602492363569763,9.130345128343802,9.72905324752152,20.60874574171612,73.99044614977183,80.0
[H:1][O:4][C:3](=[C:2]([H:5])[H:6])[H:7]>>[C:2](=[C:3]([O:4])[H:7])([H:5])[H:6].[H:1],36.5199303113512,1.753140656895946,5.599666755960336,5.867688636990626,82.66088543905062,46.140955127699414,81.0
[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[H:7]>>[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:7],31.97131537196001,2.9414585207656043,6.9829464768142415,7.577184155571053,18.89223243885499,50.863547810815,82.0
[C:1]([C:2](=[O:3])[H:4])([H:5])([H:6])[H:7]>>[C:1](=[C:2]([O:3])[H:4])([H:5])[H:6].[H:7],44.99501185102055,2.13105465316511,4.920201069424826,5.3618814327012,95.08870317084074,50.093691319820195,83.0
